07 11 02    6 "Lemmings?"
15 11 02    6 "Oh no!!!"
11 07 02    6 "They must be breeding lemmings here!"
11 15 02    6 "A hatchery? All the more to slaughter!!!"
01 15 05    6 "This level looks a bit complex."
17 20 05    6 "A way out!"
10 12 05    6 "I don't like this place."
13 14 06    6 "Illogically fashioned passages... how strange."
12 13 07    6 "I wonder where this leads?"
05 19 07    6 "What was that?"
21 09 08    6 "I'm getting claustrophobic!"
12 16 12    6 "This button could help my cause!"
04 17 14    6 "A lift!"
14 17 14    6 "A lift!"
11 17 16    6 "Uh-oh!"
