13 03 11    6 "Oops"
11 05 13    5 "Hmm. There must be something useful behind there."
11 17 13    6 "I wonder what's through there..."
11 11 10    6 "Mmmm. Grenades"
05 12 07    6 "Hey, that wasn't there the last time I looked."
06 13 07    5 "What was that noise?"
19 09 07    5 "Something's just clicked into place."
15 09 07    5 "Watch your step."
12 14 13    6 "This'll come in handy for any close encounters."
12 08 13    6 "Just what the doctor ordered."
02 19 07    6 "This must call up a lift from a level below."
19 03 07    5 "Hmm. There must be a lift somewhere else on this level."
10 09 04    5 "Watch yourselves, it sounds like we're surrounded by them."
20 18 04    5 "This looks likes a small arms cache."
21 07 04    5 "Wow! There's enough firepower in here to blow us into orbit!"
05 03 05    6 "Just four steps from the way out!"
02 20 06    5 "This could be just what we're looking for!"
08 04 04    6 "Phew, I smell a rat..."
06 17 02    6 "Those signs weren't joking. This definately smells like a sewer!"
14 02 01    5 "That's the switch we've been looking for..."
14 10 04    6 "This must be the main control panel for this lift."
16 20 04	6 "I think this is the lift control panel."
